COPY public.contracts (id, freelancer_id, client_id, offer_id, task_id, budget, deadline_days, status, work_started_at, work_stopped_at, cancelled_by_freelancer, created_at, updated_at, evaluate, deadline_at, miss_deadline) FROM stdin;
56	223	234	97	114	1000	1	ATWORK	2024-12-02 19:41:48.031578	\N	\N	2024-12-02 19:41:48.035495	2024-12-02 21:41:50.747213	10	2024-12-02 19:43:48.031569	f
49	6	1	85	100	1300	1	ATWORK	2024-11-30 15:14:33.14293	\N	\N	2024-11-30 15:14:33.147863	2024-12-02 22:11:57.049408	10	\N	\N
57	6	227	96	109	500	1	ATWORK	2024-12-02 20:11:25.0742	\N	\N	2024-12-02 20:11:25.078087	2024-12-03 10:59:46.889732	10	2024-12-02 20:13:25.074191	f
4	2	10	8	6	1000	1	ATWORK	2024-08-23 10:09:17.060669	\N	\N	2024-08-23 10:09:17.064469	\N	\N	\N	\N
3	10	2	7	3	1000	1	ATWORK	2024-08-23 09:58:10.197309	2024-08-23 11:44:39.969071	\N	2024-08-23 09:58:10.202381	2024-08-23 11:44:39.97273	\N	\N	\N
5	6	2	5	4	5000	5	ATWORK	2024-08-23 19:40:02.584196	2024-08-25 13:39:10.722781	\N	2024-08-23 19:40:02.591978	2024-08-25 13:39:10.72498	\N	\N	\N
58	6	227	98	119	300	1	ATWORK	2024-12-03 14:48:41.060706	\N	\N	2024-12-03 14:48:41.065086	2024-12-03 14:50:17.092823	10	2024-12-04 14:48:41.060691	f
59	6	6	99	121	300	5	ATWORK	2024-12-05 12:44:37.435527	\N	\N	2024-12-05 12:44:37.443637	\N	\N	2024-12-10 12:44:37.435515	f
6	6	6	19	25	300	3	ATWORK	2024-08-28 12:08:28.617812	\N	\N	2024-08-28 12:08:28.622934	\N	\N	\N	\N
7	6	6	20	27	333	3	ATWORK	2024-08-28 12:40:29.732549	\N	\N	2024-08-28 12:40:29.738532	\N	\N	\N	\N
8	2	1	21	28	5655	111	ATWORK	2024-08-28 13:07:35.468129	\N	\N	2024-08-28 13:07:35.470656	\N	\N	\N	\N
10	6	6	24	30	56	3	ATWORK	2024-08-28 19:37:48.107483	\N	\N	2024-08-28 19:37:48.11257	\N	\N	\N	\N
12	1	1	26	32	1	1	ATWORK	2024-08-28 20:40:33.317339	\N	\N	2024-08-28 20:40:33.319231	\N	\N	\N	\N
16	30	22	32	36	2000	1	ATWORK	2024-08-29 16:01:19.78662	\N	\N	2024-08-29 16:01:19.789271	\N	\N	\N	\N
17	31	2	33	37	5000	1	ATWORK	2024-08-29 21:16:49.088901	\N	\N	2024-08-29 21:16:49.091037	\N	\N	\N	\N
18	33	2	34	38	1	1	ATWORK	2024-08-30 12:51:57.169106	\N	\N	2024-08-30 12:51:57.171497	\N	\N	\N	\N
19	34	2	35	38	1	1	ATWORK	2024-08-31 08:57:55.599949	\N	\N	2024-08-31 08:57:55.604494	\N	\N	\N	\N
20	37	22	36	36	3300	1	ATWORK	2024-09-01 08:47:24.53712	\N	\N	2024-09-01 08:47:24.540671	\N	\N	\N	\N
21	37	2	37	44	1500	1	ATWORK	2024-09-01 09:59:33.018737	\N	\N	2024-09-01 09:59:33.023373	\N	\N	\N	\N
22	37	2	38	45	700	1	ATWORK	2024-09-01 10:03:54.015193	\N	\N	2024-09-01 10:03:54.017739	\N	\N	\N	\N
24	6	6	43	52	333	3	ATWORK	2024-09-03 14:22:55.710276	\N	\N	2024-09-03 14:22:55.714539	\N	\N	\N	\N
25	1	6	44	53	333	1	ATWORK	2024-09-03 14:39:23.94367	\N	\N	2024-09-03 14:39:23.945875	\N	\N	\N	\N
26	6	6	46	55	333	3	ATWORK	2024-09-03 15:24:24.935248	\N	\N	2024-09-03 15:24:24.939845	\N	\N	\N	\N
23	6	2	39	46	600	1	COMPLETED	2024-09-01 14:43:53.463514	\N	\N	2024-09-01 14:43:53.466701	2024-09-03 16:17:09.341671	10	\N	\N
27	6	2	47	37	7000	5	ATWORK	2024-09-03 16:34:26.845772	\N	\N	2024-09-03 16:34:26.849145	\N	\N	\N	\N
28	113	1	52	60	700	1	ATWORK	2024-09-16 16:26:32.260505	\N	\N	2024-09-16 16:26:32.265619	\N	\N	\N	\N
29	132	1	54	61	1000	2	ATWORK	2024-09-17 11:21:49.902789	\N	\N	2024-09-17 11:21:49.905844	\N	\N	\N	\N
30	45	1	55	62	1200	1	COMPLETED	2024-09-23 20:47:46.35645	\N	\N	2024-09-23 20:47:46.360123	2024-09-23 20:48:16.295682	10	\N	\N
31	45	1	63	64	1200	1	ATWORK	2024-09-30 11:18:57.335206	\N	\N	2024-09-30 11:18:57.33957	\N	\N	\N	\N
33	147	1	64	69	1	1	ATWORK	2024-10-01 09:32:20.322656	\N	\N	2024-10-01 09:32:20.325035	\N	\N	\N	\N
32	45	1	62	68	1200	1	COMPLETED	2024-09-30 11:19:02.256197	\N	\N	2024-09-30 11:19:02.259813	2024-10-03 14:58:15.71494	5	\N	\N
34	45	1	65	70	1200	2	ATWORK	2024-10-06 16:42:22.406421	\N	\N	2024-10-06 16:42:22.412661	\N	\N	\N	\N
35	45	1	66	71	1200	2	ATWORK	2024-10-06 16:42:24.740939	\N	\N	2024-10-06 16:42:24.744419	\N	\N	\N	\N
